"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9990","Navigate to the ""Company"" Section and validate its subsections","","Mon Jan 20 15:43:02 IST 2025","passed","Mon Jan 20 15:43:12 IST 2025","","The Testim Application","",""
"","24743","Search for a Video with Dynamic Query Handling","","Mon Jan 20 15:43:06 IST 2025","passed","Mon Jan 20 15:43:31 IST 2025","","The Youtube Application","",""
"","1025","Validate footer components","","Mon Jan 20 15:43:16 IST 2025","passed","Mon Jan 20 15:43:17 IST 2025","","The Testim Application","",""
"","3391","Navigate to ""Customers"" Section and store a review","","Mon Jan 20 15:43:12 IST 2025","passed","Mon Jan 20 15:43:15 IST 2025","","The Testim Application","",""
"","44688","Navigate to the Shopping Site and Search for ""Watches""","","Mon Jan 20 15:42:30 IST 2025","broken","Mon Jan 20 15:43:15 IST 2025","","The Target Application","",""
"","31990","Navigate to homepage and validate Header Components","","Mon Jan 20 15:42:30 IST 2025","passed","Mon Jan 20 15:43:02 IST 2025","","The Testim Application","",""
"","33873","Launch the application and verify the Page Title, URL, and Meta Tags","","Mon Jan 20 15:42:32 IST 2025","passed","Mon Jan 20 15:43:06 IST 2025","","The Youtube Application","",""
"","20377","Click on a Video","","Mon Jan 20 15:43:31 IST 2025","passed","Mon Jan 20 15:43:51 IST 2025","","The Youtube Application","",""
"","28749","Search for Hotels or Accommodations","","Mon Jan 20 15:43:06 IST 2025","broken","Mon Jan 20 15:43:35 IST 2025","","The Booking Application","",""
"","35459","Verify the Page Title and URL","","Mon Jan 20 15:42:31 IST 2025","broken","Mon Jan 20 15:43:06 IST 2025","","The Booking Application","",""
"","12443","Select an accomodation from the results","","Mon Jan 20 15:43:49 IST 2025","broken","Mon Jan 20 15:44:01 IST 2025","","The Booking Application","",""
"","333","Cross validate the stored review","","Mon Jan 20 15:43:15 IST 2025","passed","Mon Jan 20 15:43:16 IST 2025","","The Testim Application","",""
"","10223","Select a watch and check for its details","","Mon Jan 20 15:43:15 IST 2025","passed","Mon Jan 20 15:43:25 IST 2025","","The Target Application","",""
"","110","Discount calculation validation","","Mon Jan 20 15:43:25 IST 2025","passed","Mon Jan 20 15:43:25 IST 2025","","The Target Application","",""
"","13876","Apply filter and verify the search results","","Mon Jan 20 15:43:35 IST 2025","broken","Mon Jan 20 15:43:49 IST 2025","","The Booking Application","",""
